Hotel,Hotel_Eng,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date,Month,Address,Latitude,Longitude,Phone,Website,Note
第一⼤飯店,First Hotel,Taipei,176,5456,0.26,1308.97,1883608,3156349,24425201,345.24,1439,12/1/2020,20-Dec,"No. 63, Section 2, Nanjing East Road, Zhongshan District, Taipei City, Taiwan 10491",25.0523394,121.5306541,+886 2-25418234,http://www.firsthoteltaipei.com/,
綠舞國際觀光飯店,Dancewoods Hotel,Others,104,3224,0.55,5238.78,9262162,5255191,16314063,2872.88,1768,12/1/2020,20-Dec,"No. 16-2, Dazhong North Road, Wujie Township, Yilan County, Taiwan 268",24.70117527,121.8204821,+886 3-9603808,https://www.dwsresort.com.tw/,
美侖大飯店,Parkview Hotel Hualien,Hualien,343,10633,0.2,2328.39,4973441,4261025,9599334,467.74,2136,12/1/2020,20-Dec,"No. 1-1, Linyuan, Hualien City, Hualien County, Taiwan 970023",24.00035932,121.629388,+886 3-8222111,http://www.parkview-hotel.com/,
美麗信花園酒店,Miramar Garden Taipei,Taipei,203,6293,0.45,1609.28,4588067,3762743,11613251,729.07,2851,12/1/2020,20-Dec,"No. 83, Section 3, Civic Blvd, Zhongshan District, Taipei City, Taiwan 104",25.04532779,121.5380332,+886 2-87728800,http://www.miramargarden.com.tw/,
美麗春天大飯店,Beautiful Hotel,Others,34,1054,0.11,2907.92,346042,137472,483514,328.31,119,12/1/2020,20-Dec,"No. 8, Taiping Rd., Xindian Dist., New Taipei City, Taiwan 231069",24.95805713,121.5342999,+886 2-86669999,https://www.beautifulhotel.com.tw/,
義大皇家酒店,E-DA Royal Hotel,Kaohsiung,656,20336,0.39,3527.14,28019618,24295496,55792671,1377.83,7944,12/1/2020,20-Dec,"No. 153, Section 1, Xuecheng Road, Dashu District, Kaohsiung City, Taiwan 840",22.73015853,120.4020236,+886 7-6568111,http://www.edaroyal.com.tw/,
義華酒店,,Taipei,149,4619,0.22,3244,3308880,111363,3810482,716.36,1020,12/1/2020,20-Dec,"No. 197, Lequn 2nd Road, Zhongshan District",25.08052641,121.5589125,+886 2-85029988,,
老爺大酒店,Hotel Royal-Nikko Taipei,Taipei,202,6262,0.66,2412.9,9950817,25602981,40531592,1589.08,4124,12/1/2020,20-Dec,"No. 37-1, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 104",25.05387708,121.5229669,+886 2-25423266,http://www.royal-taipei.com.tw/,
耐斯王子大飯店,Nice Prince Hotel,Others,245,7595,0.46,2260.55,7891566,11965137,20944534,1039.05,3491,12/1/2020,20-Dec,"No. 600, Zhongxiao Road, East District, Chiayi City, Taiwan 600",23.4966286,120.4538167,+886 5-2771999,http://www.niceprincehotel.com.tw/,
花蓮亞士都飯店,Astar Hotel,Hualien,168,5208,0.23,1325.78,1579000,800000,2399558,303.19,1191,12/1/2020,20-Dec,"No. 6-1, Minquan Road, Hualien City, Hualien County, Taiwan 97059",23.98361174,121.6233476,+886 3-8326111,http://www.astar-hotel.com.tw/,
花蓮翰品酒店,Chateau De Chine,Hualien,197,6107,0.57,2295.19,8007932,9832015,18571521,1311.27,3489,12/1/2020,20-Dec,"No. 2, Yongxing Road, Hualien City, Hualien County, Taiwan 970",23.99196041,121.627518,+886 3-8235388,http://hualien.chateaudechine.com/zh-tw/,
華園⼤飯店,Holiday Garden Hotel,Kaohsiung,269,8339,0.46,1515.71,5835486,3497762,9638670,699.78,3850,12/1/2020,20-Dec,"No. 279, Liuhe 2nd Road, Qianjin District, Kaohsiung City, Taiwan 801",22.62932737,120.2916117,+886 7-2410123,http://www.hotelhg.com.tw/,
華泰王子大飯店,Gloria Prince Hotel,Taipei,202,6262,0.32,1757.08,3491326,10296737,16175241,557.54,1987,12/1/2020,20-Dec,"No. 369, Linsen N Rd, Zhongshan District, Taipei City, Taiwan 104",25.05818119,121.5263113,+886 2-25818111,https://www.gloriahotel.com/,
蘭城晶英酒店,Silks Place Yilan,Others,193,5983,0.79,9075.14,43025229,43734731,96857563,7191.25,4741,12/1/2020,20-Dec,"No. 36, Section 2, Minquan Road, Yilan City, Yilan County, Taiwan 260",24.75379786,121.7504696,+886 3-9351000,http://www.silksplace-yilan.com.tw/,
裕元花園酒店,Windsor Hotel,Taichung,149,4619,0.59,3058.66,8304275,25038404,37860631,1797.85,2715,12/1/2020,20-Dec,"No. 610, Section 4, Taiwan Boulevard, Xitun District, Taichung City, Taiwan 40764",24.17999873,120.624897,+886 4-24656555,http://www.windsortaiwan.com/tw,
豐⾢喜來登⼤飯店,Sheraton Hsinchu Hotel,Taoyuan-Hsinchu-Miaoli,384,11904,0.12,2851.6,3963725,4270207,8901177,332.97,1390,12/1/2020,20-Dec,"No. 265, Dong Sec. 1, Guangming 6th Rd, Zhubei City, Taiwan 300",24.82034967,121.0283949,+886 3-6206000 ,https://www.marriott.com/hotels/travel/tpehs-sheraton-hsinchu-hotel/,TBC (duplicated hotel) 
豪景大酒店,Hotel Riverview Taipei,Taipei,209,6479,0.1,1860.48,1214894,299012,1802900,187.51,653,12/1/2020,20-Dec,"No. 77, Section 1, Huanhe South Road, Wanhua District, Taipei City, Taiwan 108",25.04479881,121.5020389,+886 2-23113131,http://www.riverview.com.tw/,
趣淘漫旅 (台南),Hotel CHAM CHAM Tainan ,Scenery,198,6138,0.77,2618.51,12406507,2778757,16972908,2021.26,4738,12/1/2020,20-Dec,"No. 102-5, Mizhi, Nanxi Dist., Tainan City, Taiwan 715005",23.22465727,120.500898,+886 6-5753333,http://tainan.chamcham.com.tw/,
遠百企業觀光旅館,Far Eastem Geant Tourist Hotel,Others,40,1240,0.03,1000,38000,0,38000,30.65,38,12/1/2020,20-Dec,"No. 533, Zhongzheng South Road, Yongkang District, Tainan City, Taiwan 710",23.03472263,120.2293973,+886 6-2537554,http://feth.com.tw/,
遠雄悅來大飯店,Farglory Hotel Hualien,Hualien,381,11811,0.59,3078.23,21406001,14879425,42384061,1812.38,6954,12/1/2020,20-Dec,"No. 18, Shanling, Shoufeng Township, Hualien County, Taiwan 974009",23.908457,121.5973249,+886 3-8123999,https://www.farglory-hotel.com.tw/,
鈺通大飯店,Yuh Tong Hotel,Others,120,3720,0.25,2074.94,1902716,5926111,7841177,511.48,917,12/1/2020,20-Dec,"No. 7, Weixin Road, East District, Chiayi City, Taiwan 600",23.47977316,120.4588746,+886 5-2756111,http://www.yuhtonghotel.com.tw/,
阿⾥⼭賓館,Alishan House,Scenery,35,1085,0.53,5374.24,3117059,0,3117059,2872.87,580,12/1/2020,20-Dec,"No. 16, Alishan Township, Chiayi County, Taiwan 605",23.51569347,120.8104659,+886 5-2679811,http://www.alishanhouse.com.tw/,
阿里山賓館(新館),Alishan House (New),Scenery,104,3224,0.92,5148.37,15218584,9914958,25552093,4720.4,2956,12/1/2020,20-Dec,"No. 16, Alishan Township, Chiayi County, Taiwan 605",23.51569347,120.8104659,+886 5-2679811,http://www.alishanhouse.com.tw/,
陸島酒店,Lu Kinmen Island hotels,Others,47,1457,0.36,1267.8,657990,82560,741687,451.61,519,12/1/2020,20-Dec,"No. 90, Xiapuxia, Jinning Township, Kinmen County, Taiwan 892014",24.44035426,118.312667,+886 8-2320048,http://www.kmldhotel.com/,
陽明山中國麗緻大飯店,Landis Resort Yangmingshan,Scenery,47,1457,0.46,4103.59,2737095,2362194,7328791,1878.58,667,12/1/2020,20-Dec,"No. 237, Gezhi Road, Shilin District, Taipei City, Taiwan 111",25.14335157,121.5490098,+886 2-28616661,http://www.landisresort.com.tw/,
雲品溫泉酒店日月潭,Fleur de Chine Hotel Sun Moon Lake,Scenery,211,6541,0.89,9711.46,56413895,27868873,90230175,8624.66,5809,12/1/2020,20-Dec,"No. 23, Zhongzheng Road, Yuchi Township, Nantou County, Taiwan 55546",23.87116176,120.9240431,+886 4-92856788,https://www.fleurdechinehotel.com/tw/index.php,
⾸都⼤飯店,Capital Hotel,Taipei,129,3999,0,,0,0,179189,,0,12/1/2020,20-Dec,"No. 658, Section 4, Bade Road, Songshan District, Taipei City, Taiwan 105",25.05010645,121.5759892,+886 2-77375577,http://www.capitalsongshan.com.tw/zh-tw,
香格⾥拉台北遠東國際⼤飯店,"Shangri-La's Far Eastern Plaza Hotel, Taipei",Taipei,420,13020,0.34,5340.59,23541302,68538248,109216672,1808.09,4408,12/1/2020,20-Dec,"No. 201, Section 2, Dunhua South Road, Da’an District, Taipei City, Taiwan 10675",25.02679669,121.5502261,+886 2-23788888,http://www.shangri-la.com/tc/taipei/fareasternplazashangrila/,
香格⾥拉台南遠東國際⼤飯店,"Shangri-La's Far Eastern Plaza Hotel, Tainan",Others,331,10261,0.7,3419.98,24552008,32943156,64168988,2392.75,7179,12/1/2020,20-Dec,"No. 89, Sec. W., Daxue Rd., East Dist., Tainan City, Taiwan 701006",22.99665959,120.2144835,+886 6-7028888 ,http://www.shangri-la.com/tc/tainan/fareasternplazashangrila/,
馥藝金鬱金香酒店,Golden Tulip,Taoyuan-Hsinchu-Miaoli,191,5921,0.49,2210.37,6460912,5067830,11801396,1091.19,2923,12/1/2020,20-Dec,"No. 106, Gongyuan Road, Zhunan Township, Miaoli County, Taiwan 350",24.6909005,120.8907593,+886 3-7539888,https://www.goldentulip-aesthetics.com.tw/,
⾼雄國賓⼤飯店,Ambassador Hotel Kaohsiung,Kaohsiung,453,14043,0.68,2140.79,20350345,43674854,65611284,1449.15,9506,12/1/2020,20-Dec,"No. 202, Minsheng 2nd Road, Qianjin District, Kaohsiung City, Taiwan 80144",22.75365875,120.3018205,+886 7-2115211,https://www.ambassador-hotels.com/tc/kaohsiung,
高雄圓山大飯店,Kaohsiung Grand Hotel,Scenery,107,3317,0.51,2319.3,3942805,18231661,23159788,1188.67,1700,12/1/2020,20-Dec,"No. 2, Yuanshan Road, Niaosong District, Kaohsiung City, Taiwan 833",22.65487471,120.3472583,+886 7-3705911,http://www.grand-hotel.org/kaohsiung/zh-TW/,
高雄福華大飯店,Howard Plaza Hotel Kaohsiung,Kaohsiung,271,8401,0.58,2254,11008560,27858933,42681273,1310.39,4884,12/1/2020,20-Dec,"No. 311, Qixian 1st Road, Xinxing District, Kaohsiung City, Taiwan 800",22.6340347,120.3084078,+886 7-2362323,http://kaohsiung.howard-hotels.com.tw/,
麒麟⼤飯店,Kilin Hotel,Others,167,5177,0.45,2958.13,6957515,2190572,9397673,1343.93,2352,12/1/2020,20-Dec,"No. 116, Section 5, Jiaoxi Road, Jiaoxi Township, Yilan County, Taiwan 262",24.82748879,121.772181,+886 3-9888570,http://www.kilinjiaoxi.com.tw/,
麗尊⼤酒店,The Lees Hotel,Kaohsiung,188,5828,0.51,2063,6168370,17028568,23692439,1058.4,2990,12/1/2020,20-Dec,"No. 105, Wufu 1st Road, Lingya District, Kaohsiung City, Taiwan 802",22.62746067,120.313706,+886 7-2295000,http://www.theleeshotel.com/index.html,
龍谷大飯店,Dragon Valley Hotel,Scenery,189,5859,0.33,1742.06,3395271,1107952,5299637,579.5,1949,12/1/2020,20-Dec,"No. 138, Section 1, Dongguan Road, Heping District, Taichung City, Taiwan 424",24.20326624,121.0051732,+886 4-25951369,http://www.dragonvalley.com.tw/,
亞⼠都飯店,Astar Hotel,Taipei,40,1200,0.09,2368.32,260515,0,260515,217.1,110,11/1/2020,20-Nov,"No. 98, Linsen N Rd, Zhongshan District, Taipei City, Taiwan 10491",25.10103434,121.5186069,+886 2-25513131,,Permanently closed
晶悅國際飯店,Jing Yue International Hotel,Taoyuan-Hsinchu-Miaoli,388,11640,0,0,0,2385288,2813777,0,0,6/1/2020,20-Jun,"No. 269, Daxing Road, Taoyuan District, Taoyuan City, Taiwan 330",25.01659377,121.3160539,+886 3-3255688,http://www.pleasanthotels.com.tw/,Permanently closed
洛碁⼤飯店花華本館,Green World Flora Annex,Taipei,112,3360,0,1515,16662,0,19805,5,11,6/1/2020,20-Jun,"No. 36, Section 1, Hankou St, Zhongzheng District, Taipei City, Taiwan 100",25.04531127,121.513843,+886 2-23123811,http://flora.greenworldhotels.com/,
⼤億麗緻酒店,Tayih Landis Hotel ,Others,315,9765,0.4,2501,9693859,19582543,32232046,992.65,3876,5/1/2020,20-May,"No. 660, Sec. 1, Ximen Rd., West Central Dist., Tainan City, Taiwan 700401",22.9880705,120.1979974,+886 6-2135555,,Permanently closed
